step_id,step_index,status,event,condition_name,condition_args,constraint_id,related_step_id,active_after_step,notes
step::pilot_rod_assembly::step_01,1,accepted,produced_effect,on,"[""metal_rod"", ""workbench""]",step::pilot_rod_assembly::step_01::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_01_on_metal_rod_workbench,,true,
step::pilot_rod_assembly::step_01,1,accepted,produced_effect,secured,"[""metal_rod"", ""workbench""]",step::pilot_rod_assembly::step_01::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_01_secured_metal_rod_workbench,,true,
step::pilot_rod_assembly::step_02,2,accepted,produced_effect,sleeves_on,"[""sleeve"", ""metal_rod""]",step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_02_sleeves_on_sleeve_metal_rod,,true,
step::pilot_rod_assembly::step_02,2,accepted,produced_effect,oriented,"[""copper_sleeve"", ""right_side""]",step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_02_oriented_copper_sleeve_right_side,,true,
step::pilot_rod_assembly::step_02,2,accepted,produced_effect,count_verified,"[""copper_sleeve"", ""required_quantity_six""]",step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::2_0::produces::step__pilot_rod_assembly__step_02_count_verified_copper_sleeve_required_quantity,,true,
step::pilot_rod_assembly::step_02,2,accepted,produced_effect,count_verified,"[""long_sleeve"", ""required_quantity_five""]",step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::3_0::produces::step__pilot_rod_assembly__step_02_count_verified_long_sleeve_required_quantity_f,,true,
step::pilot_rod_assembly::step_03,3,accepted,produced_effect,inserted_in,"[""o_ring"", ""rod_holes""]",step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_03_inserted_in_o_ring_rod_holes,,true,
step::pilot_rod_assembly::step_03,3,accepted,produced_effect,aligned,"[""o_ring"", ""rod_holes""]",step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_03_aligned_o_ring_rod_holes,,true,
step::pilot_rod_assembly::step_03,3,accepted,produced_effect,adjusted_over,"[""sleeve"", ""o_ring""]",step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::2_0::produces::step__pilot_rod_assembly__step_03_adjusted_over_sleeve_o_ring,,true,
step::pilot_rod_assembly::step_03,3,accepted,produced_effect,aligned,"[""sleeve"", ""o_ring""]",step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::3_0::produces::step__pilot_rod_assembly__step_03_aligned_sleeve_o_ring,,true,
step::pilot_rod_assembly::step_04,4,accepted,produced_effect,partially_inserted_in,"[""screw"", ""rod_holes""]",step::pilot_rod_assembly::step_04::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_04_partially_inserted_in_screw_rod_holes,,true,
step::pilot_rod_assembly::step_05,5,accepted,produced_effect,applied_to,"[""threadlocker_loctite"", ""screw""]",step::pilot_rod_assembly::step_05::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_05_applied_to_threadlocker_loctite_screw,,true,
step::pilot_rod_assembly::step_06,6,uncertain,produced_effect,secured,"[""sleeve"", ""metal_rod""]",step::pilot_rod_assembly::step_06::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_06_secured_sleeve_metal_rod,,true,
step::pilot_rod_assembly::step_06,6,uncertain,produced_effect,flush_with,"[""screw"", ""sleeve""]",step::pilot_rod_assembly::step_06::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_06_flush_with_screw_sleeve,,true,
step::pilot_rod_assembly::step_07,7,accepted,produced_effect,cleaned_with,"[""rod_assembly"", ""ethanol""]",step::pilot_rod_assembly::step_07::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_07_cleaned_with_rod_assembly_ethanol,,true,
step::pilot_rod_assembly::step_07,7,accepted,produced_effect,avoided_contact_with,"[""copper_sleeve"", ""paper""]",step::pilot_rod_assembly::step_07::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_07_avoided_contact_with_copper_sleeve_paper,,true,
step::pilot_rod_assembly::step_08,8,accepted,produced_effect,lubricated_with,"[""silver_sleeve"", ""grease""]",step::pilot_rod_assembly::step_08::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_08_lubricated_with_silver_sleeve_grease,,true,
step::pilot_rod_assembly::step_08,8,accepted,produced_effect,avoided_contact_with,"[""copper_sleeve"", ""grease""]",step::pilot_rod_assembly::step_08::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_08_avoided_contact_with_copper_sleeve_grease,,true,
