constraint_id,step_id,name,kind,args,conf,rule_id,rule_type,threshold,aggregation,evidence_predicate_ids,status
step::pilot_rod_assembly::step_01::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_01_on_metal_rod_workbench,step::pilot_rod_assembly::step_01,produces,expected_effect,"[""step::pilot_rod_assembly::step_01"", ""on"", ""metal_rod"", ""workbench""]",1,effect_observed_pilot_condition,expected_effect,0.7,min,"[""pred::pilot::s01::action"", ""pred::pilot::s01::effect::on""]",inferred
step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_02_sleeves_on_sleeve_metal_rod,step::pilot_rod_assembly::step_02,produces,expected_effect,"[""step::pilot_rod_assembly::step_02"", ""sleeves_on"", ""sleeve"", ""metal_rod""]",1,effect_observed_pilot_condition,expected_effect,0.7,min,"[""pred::pilot::s02::action"", ""pred::pilot::s02::effect::sleeves_on""]",inferred
step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_02_oriented_copper_sleeve_right_side,step::pilot_rod_assembly::step_02,produces,expected_effect,"[""step::pilot_rod_assembly::step_02"", ""oriented"", ""copper_sleeve"", ""right_side""]",1,effect_observed_pilot_condition,expected_effect,0.7,min,"[""pred::pilot::s02::action"", ""pred::pilot::s02::effect::copper_oriented""]",inferred
step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::2_0::produces::step__pilot_rod_assembly__step_02_count_verified_copper_sleeve_required_quantity,step::pilot_rod_assembly::step_02,produces,expected_effect,"[""step::pilot_rod_assembly::step_02"", ""count_verified"", ""copper_sleeve"", ""required_quantity_six""]",1,effect_observed_pilot_condition,expected_effect,0.7,min,"[""pred::pilot::s02::action"", ""pred::pilot::s02::effect::copper_count""]",inferred
step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::3_0::produces::step__pilot_rod_assembly__step_02_count_verified_long_sleeve_required_quantity_f,step::pilot_rod_assembly::step_02,produces,expected_effect,"[""step::pilot_rod_assembly::step_02"", ""count_verified"", ""long_sleeve"", ""required_quantity_five""]",1,effect_observed_pilot_condition,expected_effect,0.7,min,"[""pred::pilot::s02::action"", ""pred::pilot::s02::effect::long_count""]",inferred
step::pilot_rod_assembly::step_02::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_02_on_metal_rod_workbench,step::pilot_rod_assembly::step_02,requires,inferred_precondition,"[""step::pilot_rod_assembly::step_02"", ""on"", ""metal_rod"", ""workbench""]",1,precondition_required_pilot_condition,inferred_precondition,0.7,min,"[""pred::pilot::s02::action"", ""pred::pilot::s02::requires::on_rod_workbench""]",inferred
step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_03_inserted_in_o_ring_rod_holes,step::pilot_rod_assembly::step_03,produces,expected_effect,"[""step::pilot_rod_assembly::step_03"", ""inserted_in"", ""o_ring"", ""rod_holes""]",1,effect_observed_pilot_condition,expected_effect,0.7,min,"[""pred::pilot::s03::action"", ""pred::pilot::s03::effect::oring_inserted""]",inferred
step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_03_adjusted_over_sleeve_o_ring,step::pilot_rod_assembly::step_03,produces,expected_effect,"[""step::pilot_rod_assembly::step_03"", ""adjusted_over"", ""sleeve"", ""o_ring""]",1,effect_observed_pilot_condition,expected_effect,0.7,min,"[""pred::pilot::s03::action"", ""pred::pilot::s03::effect::sleeves_adjusted""]",inferred
step::pilot_rod_assembly::step_03::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_03_sleeves_on_sleeve_metal_rod,step::pilot_rod_assembly::step_03,requires,inferred_precondition,"[""step::pilot_rod_assembly::step_03"", ""sleeves_on"", ""sleeve"", ""metal_rod""]",1,precondition_required_pilot_condition,inferred_precondition,0.7,min,"[""pred::pilot::s03::action"", ""pred::pilot::s03::requires::sleeves_on""]",inferred
step::pilot_rod_assembly::step_04::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_04_partially_inserted_in_screw_rod_holes,step::pilot_rod_assembly::step_04,produces,expected_effect,"[""step::pilot_rod_assembly::step_04"", ""partially_inserted_in"", ""screw"", ""rod_holes""]",1,effect_observed_pilot_condition,expected_effect,0.7,min,"[""pred::pilot::s04::action"", ""pred::pilot::s04::effect::partially_inserted""]",inferred
