source,target,type,properties
Step::step::pilot_rod_assembly::step_02,Step::step::pilot_rod_assembly::step_01,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""metal_rod"", ""workbench""], ""name"": ""on""}, ""supporting_effect"": {""args"": [""step::pilot_rod_assembly::step_01"", ""on"", ""metal_rod"", ""workbench""], ""condition"": {""args"": [""metal_rod"", ""workbench""], ""name"": ""on""}, ""constraint_id"": ""step::pilot_rod_assembly::step_01::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_01_on_metal_rod_workbench"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::pilot_rod_assembly::step_01"", ""type"": ""previous_produced_effect""}}"
Step::step::pilot_rod_assembly::step_03,Step::step::pilot_rod_assembly::step_02,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""sleeve"", ""metal_rod""], ""name"": ""sleeves_on""}, ""supporting_effect"": {""args"": [""step::pilot_rod_assembly::step_02"", ""sleeves_on"", ""sleeve"", ""metal_rod""], ""condition"": {""args"": [""sleeve"", ""metal_rod""], ""name"": ""sleeves_on""}, ""constraint_id"": ""step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_02_sleeves_on_sleeve_metal_rod"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::pilot_rod_assembly::step_02"", ""type"": ""previous_produced_effect""}}"
Step::step::pilot_rod_assembly::step_04,Step::step::pilot_rod_assembly::step_03,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""o_ring"", ""rod_holes""], ""name"": ""inserted_in""}, ""supporting_effect"": {""args"": [""step::pilot_rod_assembly::step_03"", ""inserted_in"", ""o_ring"", ""rod_holes""], ""condition"": {""args"": [""o_ring"", ""rod_holes""], ""name"": ""inserted_in""}, ""constraint_id"": ""step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_03_inserted_in_o_ring_rod_holes"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::pilot_rod_assembly::step_03"", ""type"": ""previous_produced_effect""}}"
Step::step::pilot_rod_assembly::step_04,Step::step::pilot_rod_assembly::step_03,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""sleeve"", ""o_ring""], ""name"": ""adjusted_over""}, ""supporting_effect"": {""args"": [""step::pilot_rod_assembly::step_03"", ""adjusted_over"", ""sleeve"", ""o_ring""], ""condition"": {""args"": [""sleeve"", ""o_ring""], ""name"": ""adjusted_over""}, ""constraint_id"": ""step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_03_adjusted_over_sleeve_o_ring"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::pilot_rod_assembly::step_03"", ""type"": ""previous_produced_effect""}}"
Step::step::pilot_rod_assembly::step_05,Step::step::pilot_rod_assembly::step_04,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""screw"", ""rod_holes""], ""name"": ""partially_inserted_in""}, ""supporting_effect"": {""args"": [""step::pilot_rod_assembly::step_04"", ""partially_inserted_in"", ""screw"", ""rod_holes""], ""condition"": {""args"": [""screw"", ""rod_holes""], ""name"": ""partially_inserted_in""}, ""constraint_id"": ""step::pilot_rod_assembly::step_04::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_04_partially_inserted_in_screw_rod_holes"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::pilot_rod_assembly::step_04"", ""type"": ""previous_produced_effect""}}"
Step::step::pilot_rod_assembly::step_06,Step::step::pilot_rod_assembly::step_04,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""screw"", ""rod_holes""], ""name"": ""partially_inserted_in""}, ""supporting_effect"": {""args"": [""step::pilot_rod_assembly::step_04"", ""partially_inserted_in"", ""screw"", ""rod_holes""], ""condition"": {""args"": [""screw"", ""rod_holes""], ""name"": ""partially_inserted_in""}, ""constraint_id"": ""step::pilot_rod_assembly::step_04::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_04_partially_inserted_in_screw_rod_holes"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::pilot_rod_assembly::step_04"", ""type"": ""previous_produced_effect""}}"
Step::step::pilot_rod_assembly::step_06,Step::step::pilot_rod_assembly::step_05,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""threadlocker_loctite"", ""screw""], ""name"": ""applied_to""}, ""supporting_effect"": {""args"": [""step::pilot_rod_assembly::step_05"", ""applied_to"", ""threadlocker_loctite"", ""screw""], ""condition"": {""args"": [""threadlocker_loctite"", ""screw""], ""name"": ""applied_to""}, ""constraint_id"": ""step::pilot_rod_assembly::step_05::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_05_applied_to_threadlocker_loctite_screw"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::pilot_rod_assembly::step_05"", ""type"": ""previous_produced_effect""}}"
Step::step::pilot_rod_assembly::step_07,Step::step::pilot_rod_assembly::step_06,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""sleeve"", ""metal_rod""], ""name"": ""secured_to""}, ""supporting_effect"": {""args"": [""step::pilot_rod_assembly::step_06"", ""secured_to"", ""sleeve"", ""metal_rod""], ""condition"": {""args"": [""sleeve"", ""metal_rod""], ""name"": ""secured_to""}, ""constraint_id"": ""step::pilot_rod_assembly::step_06::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_06_secured_to_sleeve_metal_rod"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::pilot_rod_assembly::step_06"", ""type"": ""previous_produced_effect""}}"
Step::step::pilot_rod_assembly::step_08,Step::step::pilot_rod_assembly::step_06,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""sleeve"", ""metal_rod""], ""name"": ""secured_to""}, ""supporting_effect"": {""args"": [""step::pilot_rod_assembly::step_06"", ""secured_to"", ""sleeve"", ""metal_rod""], ""condition"": {""args"": [""sleeve"", ""metal_rod""], ""name"": ""secured_to""}, ""constraint_id"": ""step::pilot_rod_assembly::step_06::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_06_secured_to_sleeve_metal_rod"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::pilot_rod_assembly::step_06"", ""type"": ""previous_produced_effect""}}"
Step::step::pilot_rod_assembly::step_08,Step::step::pilot_rod_assembly::step_07,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""rod_assembly"", ""ethanol""], ""name"": ""cleaned_with""}, ""supporting_effect"": {""args"": [""step::pilot_rod_assembly::step_07"", ""cleaned_with"", ""rod_assembly"", ""ethanol""], ""condition"": {""args"": [""rod_assembly"", ""ethanol""], ""name"": ""cleaned_with""}, ""constraint_id"": ""step::pilot_rod_assembly::step_07::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_07_cleaned_with_rod_assembly_ethanol"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::pilot_rod_assembly::step_07"", ""type"": ""previous_produced_effect""}}"
Constraint::step::pilot_rod_assembly::step_01::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_01_on_metal_rod_workbench,Rule::effect_observed_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_02_sleeves_on_sleeve_metal_rod,Rule::effect_observed_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_02_oriented_copper_sleeve_right_side,Rule::effect_observed_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::2_0::produces::step__pilot_rod_assembly__step_02_count_verified_copper_sleeve_required_quantity,Rule::effect_observed_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::3_0::produces::step__pilot_rod_assembly__step_02_count_verified_long_sleeve_required_quantity_f,Rule::effect_observed_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_02::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_02_on_metal_rod_workbench,Rule::precondition_required_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_03_inserted_in_o_ring_rod_holes,Rule::effect_observed_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_03_adjusted_over_sleeve_o_ring,Rule::effect_observed_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_03::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_03_sleeves_on_sleeve_metal_rod,Rule::precondition_required_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_04::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_04_partially_inserted_in_screw_rod_holes,Rule::effect_observed_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_04::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_04_inserted_in_o_ring_rod_holes,Rule::precondition_required_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_04::c::precondition_required_pilot_condition::1_0::requires::step__pilot_rod_assembly__step_04_adjusted_over_sleeve_o_ring,Rule::precondition_required_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_04::c::tool_required_by_pilot_step::0_0::requirestool::step__pilot_rod_assembly__step_04_power_screwdriver,Rule::tool_required_by_pilot_step,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_05::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_05_applied_to_threadlocker_loctite_screw,Rule::effect_observed_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_05::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_05_partially_inserted_in_screw_rod_holes,Rule::precondition_required_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_06::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_06_secured_to_sleeve_metal_rod,Rule::effect_observed_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_06::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_06_flush_with_screw_sleeve,Rule::effect_observed_pilot_condition,DERIVED_FROM,{}
Constraint::step::pilot_rod_assembly::step_06::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_06_applied_to_threadlocker_loctite_screw,Rule::precondition_required_pilot_condition,DERIVED_FROM,{}
