id,type,properties
Constraint::step::pilot_rod_assembly::step_01::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_01_on_metal_rod_workbench,Constraint,"{""args"": [""step::pilot_rod_assembly::step_01"", ""on"", ""metal_rod"", ""workbench""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_01::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_01_on_metal_rod_workbench"", ""display_label"": ""produces on(metal_rod, workbench) [observed]"", ""display_name"": ""produces on"", ""effect_lifecycle_status"": ""active"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_observed_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_01::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_01_on_metal_rod_workbench"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_02_sleeves_on_sleeve_metal_rod,Constraint,"{""args"": [""step::pilot_rod_assembly::step_02"", ""sleeves_on"", ""sleeve"", ""metal_rod""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_02_sleeves_on_sleeve_metal_rod"", ""display_label"": ""produces sleeves_on(sleeve, metal_rod) [observed]"", ""display_name"": ""produces sleeves_on"", ""effect_lifecycle_status"": ""active"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_observed_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_02_sleeves_on_sleeve_metal_rod"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_02_oriented_copper_sleeve_right_side,Constraint,"{""args"": [""step::pilot_rod_assembly::step_02"", ""oriented"", ""copper_sleeve"", ""right_side""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_02_oriented_copper_sleeve_right_side"", ""display_label"": ""produces oriented(copper_sleeve, right_side) [observed]"", ""display_name"": ""produces oriented"", ""effect_lifecycle_status"": ""active"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_observed_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_02_oriented_copper_sleeve_right_side"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::2_0::produces::step__pilot_rod_assembly__step_02_count_verified_copper_sleeve_required_quantity,Constraint,"{""args"": [""step::pilot_rod_assembly::step_02"", ""count_verified"", ""copper_sleeve"", ""required_quantity_six""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::2_0::produces::step__pilot_rod_assembly__step_02_count_verified_copper_sleeve_required_quantity"", ""display_label"": ""produces count_verified(copper_sleeve, required_quantity_six) [observed]"", ""display_name"": ""produces count_verified"", ""effect_lifecycle_status"": ""active"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_observed_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::2_0::produces::step__pilot_rod_assembly__step_02_count_verified_copper_sleeve_required_quantity"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::3_0::produces::step__pilot_rod_assembly__step_02_count_verified_long_sleeve_required_quantity_f,Constraint,"{""args"": [""step::pilot_rod_assembly::step_02"", ""count_verified"", ""long_sleeve"", ""required_quantity_five""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::3_0::produces::step__pilot_rod_assembly__step_02_count_verified_long_sleeve_required_quantity_f"", ""display_label"": ""produces count_verified(long_sleeve, required_quantity_five) [observed]"", ""display_name"": ""produces count_verified"", ""effect_lifecycle_status"": ""active"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_observed_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_02::c::effect_observed_pilot_condition::3_0::produces::step__pilot_rod_assembly__step_02_count_verified_long_sleeve_required_quantity_f"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::pilot_rod_assembly::step_02::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_02_on_metal_rod_workbench,Constraint,"{""args"": [""step::pilot_rod_assembly::step_02"", ""on"", ""metal_rod"", ""workbench""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_02::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_02_on_metal_rod_workbench"", ""display_label"": ""requires on(metal_rod, workbench) [supported]"", ""display_name"": ""requires on"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_required_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_02::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_02_on_metal_rod_workbench"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
Constraint::step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_03_inserted_in_o_ring_rod_holes,Constraint,"{""args"": [""step::pilot_rod_assembly::step_03"", ""inserted_in"", ""o_ring"", ""rod_holes""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_03_inserted_in_o_ring_rod_holes"", ""display_label"": ""produces inserted_in(o_ring, rod_holes) [observed]"", ""display_name"": ""produces inserted_in"", ""effect_lifecycle_status"": ""active"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_observed_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_03_inserted_in_o_ring_rod_holes"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_03_adjusted_over_sleeve_o_ring,Constraint,"{""args"": [""step::pilot_rod_assembly::step_03"", ""adjusted_over"", ""sleeve"", ""o_ring""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_03_adjusted_over_sleeve_o_ring"", ""display_label"": ""produces adjusted_over(sleeve, o_ring) [observed]"", ""display_name"": ""produces adjusted_over"", ""effect_lifecycle_status"": ""active"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_observed_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_03::c::effect_observed_pilot_condition::1_0::produces::step__pilot_rod_assembly__step_03_adjusted_over_sleeve_o_ring"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::pilot_rod_assembly::step_03::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_03_sleeves_on_sleeve_metal_rod,Constraint,"{""args"": [""step::pilot_rod_assembly::step_03"", ""sleeves_on"", ""sleeve"", ""metal_rod""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_03::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_03_sleeves_on_sleeve_metal_rod"", ""display_label"": ""requires sleeves_on(sleeve, metal_rod) [supported]"", ""display_name"": ""requires sleeves_on"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_required_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_03::c::precondition_required_pilot_condition::0_0::requires::step__pilot_rod_assembly__step_03_sleeves_on_sleeve_metal_rod"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
Constraint::step::pilot_rod_assembly::step_04::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_04_partially_inserted_in_screw_rod_holes,Constraint,"{""args"": [""step::pilot_rod_assembly::step_04"", ""partially_inserted_in"", ""screw"", ""rod_holes""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::pilot_rod_assembly::step_04::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_04_partially_inserted_in_screw_rod_holes"", ""display_label"": ""produces partially_inserted_in(screw, rod_holes) [observed]"", ""display_name"": ""produces partially_inserted_in"", ""effect_lifecycle_status"": ""active"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_observed_pilot_condition"", ""short_id"": ""step::pilot_rod_assembly::step_04::c::effect_observed_pilot_condition::0_0::produces::step__pilot_rod_assembly__step_04_partially_inserted_in_screw_rod_holes"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
