step_id,step_index,action_name,object_args,predicate_count,matched_rule_count,produced_constraint_count,has_expected_effect,has_requirement,has_incompatibility,has_meaningful_evidence,has_rule_coverage,warning_code,warning_message,evidence_predicates,suggested_fix
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0,0,install,"[""base""]",7,1,1,true,false,false,true,true,,,"[{""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_0_install"", ""name"": ""hasAction"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0"", ""install""]}, {""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_0_base"", ""name"": ""usesObject"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0"", ""base""]}]",
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1,1,install,"[""rear_chassis""]",8,2,2,true,true,false,true,true,,,"[{""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_1_install"", ""name"": ""hasAction"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1"", ""install""]}, {""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_1_rear_chassis"", ""name"": ""usesObject"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1"", ""rear_chassis""]}]",
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2,2,install,"[""front_rear_chassis_pin""]",12,4,4,true,true,false,true,true,,,"[{""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_install"", ""name"": ""hasAction"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2"", ""install""]}, {""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_front_rear_chassis_pin"", ""name"": ""usesObject"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2"", ""front_rear_chassis_pin""]}]",
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3,3,install,"[""front_chassis""]",8,2,2,true,true,false,true,true,,,"[{""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_3_install"", ""name"": ""hasAction"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3"", ""install""]}, {""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_3_front_chassis"", ""name"": ""usesObject"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3"", ""front_chassis""]}]",
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4,4,install,"[""front_chassis_pin""]",12,4,4,true,true,false,true,true,,,"[{""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_4_install"", ""name"": ""hasAction"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4"", ""install""]}, {""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_4_front_chassis_pin"", ""name"": ""usesObject"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4"", ""front_chassis_pin""]}]",
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5,5,install,"[""rear_rear_chassis_pin""]",12,4,4,true,true,false,true,true,,,"[{""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_5_install"", ""name"": ""hasAction"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5"", ""install""]}, {""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_5_rear_rear_chassis_pin"", ""name"": ""usesObject"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5"", ""rear_rear_chassis_pin""]}]",
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6,6,install,"[""front_bracket""]",9,2,2,true,true,false,true,true,,,"[{""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_6_install"", ""name"": ""hasAction"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6"", ""install""]}, {""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_6_front_bracket"", ""name"": ""usesObject"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6"", ""front_bracket""]}]",
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7,7,install,"[""front_bracket_screw""]",11,3,3,true,true,false,true,true,,,"[{""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_7_install"", ""name"": ""hasAction"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7"", ""install""]}, {""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_7_front_bracket_screw"", ""name"": ""usesObject"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7"", ""front_bracket_screw""]}]",
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8,8,install,"[""front_wheel_assy""]",9,2,2,true,true,false,true,true,,,"[{""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_8_install"", ""name"": ""hasAction"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8"", ""install""]}, {""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_8_front_wheel_assy"", ""name"": ""usesObject"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8"", ""front_wheel_assy""]}]",
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9,9,remove,"[""front_wheel_assy""]",9,0,0,false,false,false,true,false,no_applicable_rule,Step has predicate evidence but no Layer 3 rule produced constraints.,"[{""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_9_remove"", ""name"": ""hasAction"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9"", ""remove""]}, {""id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_9_front_wheel_assy"", ""name"": ""usesObject"", ""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9"", ""front_wheel_assy""]}]",Add an explicit rule for this action or treat it as unsupported in the domain model.
