step_id,step_index,status,event,condition_name,condition_args,constraint_id,related_step_id,active_after_step,notes
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0,0,accepted,produced_effect,installed,"[""base"", ""workspace""]",step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_0_in,,true,
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1,1,accepted,produced_effect,installed,"[""rear_chassis"", ""base""]",step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in,,true,
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2,2,uncertain,produced_effect,installed,"[""front_rear_chassis_pin"", ""rear_chassis""]",step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_in,,true,
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3,3,accepted,produced_effect,installed,"[""front_chassis"", ""base""]",step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in,,true,
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4,4,uncertain,produced_effect,installed,"[""front_chassis_pin"", ""front_chassis""]",step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_in,,true,
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5,5,uncertain,produced_effect,installed,"[""rear_rear_chassis_pin"", ""rear_chassis""]",step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_5_in,,true,
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6,6,accepted,produced_effect,installed,"[""front_bracket"", ""front_chassis""]",step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_6_in,,true,
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7,7,uncertain,produced_effect,installed,"[""front_bracket_screw"", ""front_bracket""]",step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_7_in,,true,
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8,8,accepted,produced_effect,installed,"[""front_wheel_assy"", ""front_chassis""]",step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_8_in,,true,
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9,9,accepted,produced_effect,removed,"[""front_wheel_assy"", ""front_chassis""]",step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9::c::effect_remove_component_from_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_9_re,,true,
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9,9,accepted,invalidated_effect,installed,"[""front_wheel_assy"", ""front_chassis""]",step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9::c::effect_remove_component_from_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_9_re,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8,false,Historical effect retained but removed from active support.
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10,10,accepted,produced_effect,installed,"[""rear_wheel_assy"", ""rear_chassis""]",step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_10_i,,true,
