constraint_id,step_id,name,kind,args,conf,rule_id,rule_type,threshold,aggregation,evidence_predicate_ids,status
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_0_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0,produces,expected_effect,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0"", ""installed"", ""base"", ""workspace""]",1,effect_install_component_on_target,expected_effect,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_0_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_0_base"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::isA::base_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::p::hasInstallTarget::base_workspace""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1,requires,inferred_precondition,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1"", ""installed"", ""base"", ""workspace""]",1,precondition_install_requires_target_installed,inferred_precondition,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_1_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_1_rear_chassis"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::isA::rear_chassis_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::requiresInstalledBefore::rear_chassis_base_workspace""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1,produces,expected_effect,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1"", ""installed"", ""rear_chassis"", ""base""]",1,effect_install_component_on_target,expected_effect,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_1_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_1_rear_chassis"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::isA::rear_chassis_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::p::hasInstallTarget::rear_chassis_base""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2,requires,inferred_precondition,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2"", ""installed"", ""rear_chassis"", ""base""]",1,precondition_install_requires_target_installed,inferred_precondition,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_front_rear_chassis_pin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::isA::front_rear_chassis_pin_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::requiresInstalledBefore::front_rear_chassis_pin_rear_chassis_base""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2,produces,expected_effect,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2"", ""installed"", ""front_rear_chassis_pin"", ""rear_chassis""]",1,effect_install_component_on_target,expected_effect,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_front_rear_chassis_pin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::isA::front_rear_chassis_pin_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasInstallTarget::front_rear_chassis_pin_rear_chassis""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_al,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2,requires,implicit_assembly_condition,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2"", ""aligned"", ""front_rear_chassis_pin"", ""rear_chassis""]",1,implicit_domain_required_condition,implicit_assembly_condition,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_front_rear_chassis_pin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::isA::front_rear_chassis_pin_chassispin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasRequiredCondition::front_rear_chassis_pin_aligned_front_rear_chassis_pin_rear_chassis""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_se,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2,requiresSafety,safety_constraint,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2"", ""secured"", ""base"", ""workspace""]",1,safety_domain_requirement,safety_constraint,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_2_front_rear_chassis_pin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::isA::front_rear_chassis_pin_chassispin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::p::hasSafetyRequirement::front_rear_chassis_pin_secured_base_workspace""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3,requires,inferred_precondition,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3"", ""installed"", ""base"", ""workspace""]",1,precondition_install_requires_target_installed,inferred_precondition,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_3_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_3_front_chassis"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::isA::front_chassis_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::requiresInstalledBefore::front_chassis_base_workspace""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3,produces,expected_effect,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3"", ""installed"", ""front_chassis"", ""base""]",1,effect_install_component_on_target,expected_effect,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_3_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_3_front_chassis"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::isA::front_chassis_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::p::hasInstallTarget::front_chassis_base""]",inferred
step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_4_in,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4,requires,inferred_precondition,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4"", ""installed"", ""front_chassis"", ""base""]",1,precondition_install_requires_target_installed,inferred_precondition,0.7,min,"[""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::hasAction::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_4_install"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::usesObject::step_raw_cad_dataset_all_test_clips_od_only_test_p1_03_assy_0_1_event_4_front_chassis_pin"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::isA::front_chassis_pin_component"", ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4::p::requiresInstalledBefore::front_chassis_pin_front_chassis_base""]",inferred
