source,target,type,properties
Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1,Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""base"", ""workspace""], ""name"": ""installed""}, ""supporting_effect"": {""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0"", ""installed"", ""base"", ""workspace""], ""condition"": {""args"": [""base"", ""workspace""], ""name"": ""installed""}, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_0_in"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0"", ""type"": ""previous_produced_effect""}}"
Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10,Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""rear_chassis"", ""base""], ""name"": ""installed""}, ""supporting_effect"": {""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1"", ""installed"", ""rear_chassis"", ""base""], ""condition"": {""args"": [""rear_chassis"", ""base""], ""name"": ""installed""}, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1"", ""type"": ""previous_produced_effect""}}"
Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2,Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""rear_chassis"", ""base""], ""name"": ""installed""}, ""supporting_effect"": {""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1"", ""installed"", ""rear_chassis"", ""base""], ""condition"": {""args"": [""rear_chassis"", ""base""], ""name"": ""installed""}, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1"", ""type"": ""previous_produced_effect""}}"
Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3,Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""base"", ""workspace""], ""name"": ""installed""}, ""supporting_effect"": {""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0"", ""installed"", ""base"", ""workspace""], ""condition"": {""args"": [""base"", ""workspace""], ""name"": ""installed""}, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_0_in"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0"", ""type"": ""previous_produced_effect""}}"
Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_4,Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""front_chassis"", ""base""], ""name"": ""installed""}, ""supporting_effect"": {""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3"", ""installed"", ""front_chassis"", ""base""], ""condition"": {""args"": [""front_chassis"", ""base""], ""name"": ""installed""}, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3"", ""type"": ""previous_produced_effect""}}"
Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_5,Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""rear_chassis"", ""base""], ""name"": ""installed""}, ""supporting_effect"": {""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1"", ""installed"", ""rear_chassis"", ""base""], ""condition"": {""args"": [""rear_chassis"", ""base""], ""name"": ""installed""}, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1"", ""type"": ""previous_produced_effect""}}"
Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6,Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""front_chassis"", ""base""], ""name"": ""installed""}, ""supporting_effect"": {""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3"", ""installed"", ""front_chassis"", ""base""], ""condition"": {""args"": [""front_chassis"", ""base""], ""name"": ""installed""}, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3"", ""type"": ""previous_produced_effect""}}"
Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_7,Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""front_bracket"", ""front_chassis""], ""name"": ""installed""}, ""supporting_effect"": {""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6"", ""installed"", ""front_bracket"", ""front_chassis""], ""condition"": {""args"": [""front_bracket"", ""front_chassis""], ""name"": ""installed""}, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_6_in"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_6"", ""type"": ""previous_produced_effect""}}"
Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8,Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""front_chassis"", ""base""], ""name"": ""installed""}, ""supporting_effect"": {""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3"", ""installed"", ""front_chassis"", ""base""], ""condition"": {""args"": [""front_chassis"", ""base""], ""name"": ""installed""}, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3"", ""type"": ""previous_produced_effect""}}"
Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9,Step::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8,DEPENDS_ON,"{""confidence"": 1.0, ""provisional"": false, ""required_condition"": {""args"": [""front_wheel_assy"", ""front_chassis""], ""name"": ""installed""}, ""supporting_effect"": {""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8"", ""installed"", ""front_wheel_assy"", ""front_chassis""], ""condition"": {""args"": [""front_wheel_assy"", ""front_chassis""], ""name"": ""installed""}, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_8_in"", ""producer_status"": ""accepted"", ""provisional"": false, ""step_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_8"", ""type"": ""previous_produced_effect""}}"
