id,type,properties
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_0_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0"", ""installed"", ""base"", ""workspace""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_0_in"", ""display_label"": ""produces installed(base, workspace) [observed]"", ""display_name"": ""produces installed"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_install_component_on_target"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_0::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_0_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_10_i,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10"", ""installed"", ""rear_wheel_assy"", ""rear_chassis""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_10_i"", ""display_label"": ""produces installed(rear_wheel_assy, rear_chassis) [observed]"", ""display_name"": ""produces installed"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_install_component_on_target"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_10_i"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_10_i,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10"", ""installed"", ""rear_chassis"", ""base""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_10_i"", ""display_label"": ""requires installed(rear_chassis, base) [supported]"", ""display_name"": ""requires installed"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_install_requires_target_installed"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_10::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_10_i"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1"", ""installed"", ""rear_chassis"", ""base""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in"", ""display_label"": ""produces installed(rear_chassis, base) [observed]"", ""display_name"": ""produces installed"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_install_component_on_target"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1"", ""installed"", ""base"", ""workspace""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in"", ""display_label"": ""requires installed(base, workspace) [supported]"", ""display_name"": ""requires installed"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_install_requires_target_installed"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_1::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_1_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2"", ""installed"", ""front_rear_chassis_pin"", ""rear_chassis""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_in"", ""display_label"": ""produces installed(front_rear_chassis_pin, rear_chassis) [observed]"", ""display_name"": ""produces installed"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_install_component_on_target"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_al,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2"", ""aligned"", ""front_rear_chassis_pin"", ""rear_chassis""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_al"", ""display_label"": ""requires aligned(front_rear_chassis_pin, rear_chassis) [missing]"", ""display_name"": ""requires aligned"", ""kind"": ""implicit_assembly_condition"", ""name"": ""requires"", ""rule_id"": ""implicit_domain_required_condition"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::implicit_domain_required_condition::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_al"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""missing""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2"", ""installed"", ""rear_chassis"", ""base""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_in"", ""display_label"": ""requires installed(rear_chassis, base) [supported]"", ""display_name"": ""requires installed"", ""kind"": ""inferred_precondition"", ""name"": ""requires"", ""rule_id"": ""precondition_install_requires_target_installed"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::precondition_install_requires_target_installed::0_0::requires::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""supported""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_se,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2"", ""secured"", ""base"", ""workspace""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_se"", ""display_label"": ""requires safety secured(base, workspace) [missing]"", ""display_name"": ""requires safety secured"", ""kind"": ""safety_constraint"", ""name"": ""requiresSafety"", ""rule_id"": ""safety_domain_requirement"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_2::c::safety_domain_requirement::0_0::requiressafety::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_2_se"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""missing""}"
Constraint::step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in,Constraint,"{""args"": [""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3"", ""installed"", ""front_chassis"", ""base""], ""conf"": 1.0, ""confidence"": 1.0, ""constraint_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in"", ""display_label"": ""produces installed(front_chassis, base) [observed]"", ""display_name"": ""produces installed"", ""kind"": ""expected_effect"", ""name"": ""produces"", ""rule_id"": ""effect_install_component_on_target"", ""short_id"": ""step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_3::c::effect_install_component_on_target::0_0::produces::step__raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1__event_3_in"", ""support"": {""notes"": ""Constraint observed in the step."", ""type"": ""same_step_constraint""}, ""support_status"": ""observed""}"
