clip_result_id,constraint_name,constraint_kind,count,confidence_min,confidence_mean,confidence_max
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1,produces,expected_effect,11,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1,requires,implicit_assembly_condition,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1,requires,inferred_precondition,10,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1,requiresSafety,safety_constraint,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_1_3,produces,expected_effect,12,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_1_3,requires,implicit_assembly_condition,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_1_3,requires,inferred_precondition,11,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_1_3,requiresSafety,safety_constraint,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_1_3,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,produces,expected_effect,28,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,requires,inferred_precondition,27,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,requiresTool,required_tool,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_2_4,produces,expected_effect,16,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_2_4,requires,implicit_assembly_condition,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_2_4,requires,inferred_precondition,15,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_2_4,requiresSafety,safety_constraint,5,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_2_4,requiresTool,required_tool,1,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__09_assy_0_1,produces,expected_effect,17,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__09_assy_0_1,requires,implicit_assembly_condition,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__09_assy_0_1,requires,inferred_precondition,16,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__09_assy_0_1,requiresSafety,safety_constraint,4,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__09_assy_0_1,requiresTool,required_tool,3,1.0,1.0,1.0
raw_cad_dataset__all_test_clips__od_only__test_p1__09_assy_3_1,produces,expected_effect,10,1.0,1.0,1.0
