clip_result_id,run_id,mode,archive_name,clip,step_count,predicate_count,steps_with_predicate_evidence,steps_with_meaningful_action_object_evidence,requires_count,produces_count,requires_tool_count,requires_safety_count,incompatibility_count,remove_step_count,remove_requires_installed_count,remove_produces_removed_count,unsupported_action_count,unsupported_actions,rule_coverage_warning_count,rule_coverage_warnings
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1,raw_cad_dataset__all_test_clips,od_only,test_p1,03_assy_0_1,11,106,11,11,13,11,1,3,0,1,1,1,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_1_3,raw_cad_dataset__all_test_clips,od_only,test_p1,03_assy_1_3,12,113,12,12,14,12,1,3,0,1,1,1,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,raw_cad_dataset__all_test_clips,od_only,test_p1,08_assy_0_1,28,269,28,28,32,28,3,5,0,9,9,9,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_2_4,raw_cad_dataset__all_test_clips,od_only,test_p1,08_assy_2_4,16,161,16,16,20,16,1,5,0,3,3,3,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p1__09_assy_0_1,raw_cad_dataset__all_test_clips,od_only,test_p1,09_assy_0_1,17,170,17,17,20,17,3,4,0,4,4,4,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p1__09_assy_3_1,raw_cad_dataset__all_test_clips,od_only,test_p1,09_assy_3_1,10,97,10,10,12,10,1,3,0,0,0,0,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p2__10_assy_0_1,raw_cad_dataset__all_test_clips,od_only,test_p2,10_assy_0_1,13,136,13,13,17,13,1,5,0,2,2,2,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p2__10_assy_3_2,raw_cad_dataset__all_test_clips,od_only,test_p2,10_assy_3_2,12,113,12,12,14,12,1,3,0,1,1,1,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_0_1,raw_cad_dataset__all_test_clips,od_only,test_p2,12_assy_0_1,23,233,23,23,27,23,3,5,0,9,9,9,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p2__12_assy_3_4,raw_cad_dataset__all_test_clips,od_only,test_p2,12_assy_3_4,16,161,16,16,20,16,1,5,0,3,3,3,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p2__13_assy_0_1,raw_cad_dataset__all_test_clips,od_only,test_p2,13_assy_0_1,17,170,17,17,20,17,3,4,0,4,4,4,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_0_1,raw_cad_dataset__all_test_clips,od_only,test_p3,17_assy_0_1,27,268,27,27,32,27,3,6,0,9,9,9,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p3__17_assy_1_5,raw_cad_dataset__all_test_clips,od_only,test_p3,17_assy_1_5,20,200,20,20,24,20,1,5,0,7,7,7,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_0_1,raw_cad_dataset__all_test_clips,od_only,test_p3,18_assy_0_1,19,194,19,19,23,19,3,5,0,5,5,5,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p3__18_assy_2_5,raw_cad_dataset__all_test_clips,od_only,test_p3,18_assy_2_5,16,161,16,16,20,16,1,5,0,3,3,3,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_0_1,raw_cad_dataset__all_test_clips,od_only,test_p3,19_assy_0_1,11,112,11,11,14,11,1,4,0,1,1,1,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p3__19_assy_3_5,raw_cad_dataset__all_test_clips,od_only,test_p3,19_assy_3_5,16,161,16,16,20,16,1,5,0,3,3,3,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_0_1,raw_cad_dataset__all_test_clips,od_only,test_p3,23_assy_0_1,13,136,13,13,17,13,1,5,0,2,2,2,0,,0,{}
raw_cad_dataset__all_test_clips__od_only__test_p3__23_assy_1_2,raw_cad_dataset__all_test_clips,od_only,test_p3,23_assy_1_2,16,161,16,16,20,16,1,5,0,3,3,3,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_0_1,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p1,03_assy_0_1,11,106,11,11,13,11,1,3,0,1,1,1,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__03_assy_1_3,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p1,03_assy_1_3,16,154,16,16,17,14,1,4,2,2,2,2,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_0_1,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p1,08_assy_0_1,34,326,34,34,36,32,4,5,2,10,10,10,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__08_assy_2_4,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p1,08_assy_2_4,19,190,19,19,22,18,2,5,1,3,3,3,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_0_1,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p1,09_assy_0_1,17,170,17,17,20,17,3,4,0,4,4,4,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p1__09_assy_3_1,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p1,09_assy_3_1,12,117,12,12,13,11,1,3,1,0,0,0,0,,0,{}
raw_cad_dataset__all_test_clips__od_plus_psr_error_hints__test_p2__10_assy_0_1,raw_cad_dataset__all_test_clips,od_plus_psr_error_hints,test_p2,10_assy_0_1,13,136,13,13,17,13,1,5,0,2,2,2,0,,0,{}
