clip_result_id,step_id,step_index,action_name,object_args,has_requires_installed,has_produces_removed,produced_constraint_count,has_rule_coverage,warning_code,notes
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_0_1::event_9,9,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__03_assy_1_3,step::raw_cad_dataset__all_test_clips::od_only::test_p1::03_assy_1_3::event_5,5,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::08_assy_0_1::event_6,6,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::08_assy_0_1::event_13,13,remove,"[""short_rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::08_assy_0_1::event_14,14,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::08_assy_0_1::event_15,15,remove,"[""front_bracket""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::08_assy_0_1::event_16,16,remove,"[""front_bracket_screw""]",True,True,3,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::08_assy_0_1::event_17,17,remove,"[""front_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::08_assy_0_1::event_18,18,remove,"[""rear_wheel_assy""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::08_assy_0_1::event_20,20,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_0_1,step::raw_cad_dataset__all_test_clips::od_only::test_p1::08_assy_0_1::event_25,25,remove,"[""rear_chassis""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_2_4,step::raw_cad_dataset__all_test_clips::od_only::test_p1::08_assy_2_4::event_6,6,remove,"[""front_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_2_4,step::raw_cad_dataset__all_test_clips::od_only::test_p1::08_assy_2_4::event_8,8,remove,"[""rear_rear_chassis_pin""]",True,True,2,True,,
raw_cad_dataset__all_test_clips__od_only__test_p1__08_assy_2_4,step::raw_cad_dataset__all_test_clips::od_only::test_p1::08_assy_2_4::event_13,13,remove,"[""rear_chassis""]",True,True,2,True,,
