dependent_step_id,support_step_id,required_condition,has_validation_dependency_support,dependent_has_requirement_edge,support_has_produces_edge,support_status,rejected_support,status,notes
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_1,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,"{""args"": [""base"", ""workspace""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_10,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_6,"{""args"": [""front_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_11,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_10,"{""args"": [""front_bracket"", ""front_chassis""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_12,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_6,"{""args"": [""front_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_15,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,"{""args"": [""base"", ""workspace""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_16,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_9,"{""args"": [""short_rear_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_17,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_2,"{""args"": [""front_rear_chassis_pin"", ""rear_chassis""], ""name"": ""installed""}",True,True,True,uncertain,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_18,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_10,"{""args"": [""front_bracket"", ""front_chassis""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_19,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_11,"{""args"": [""front_bracket_screw"", ""front_bracket""], ""name"": ""installed""}",True,True,True,uncertain,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_2,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_1,"{""args"": [""rear_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_20,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_12,"{""args"": [""front_wheel_assy"", ""front_chassis""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_22,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_15,"{""args"": [""rear_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_23,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_3,"{""args"": [""rear_rear_chassis_pin"", ""rear_chassis""], ""name"": ""installed""}",True,True,True,uncertain,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_24,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_15,"{""args"": [""rear_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_25,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_6,"{""args"": [""front_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_26,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_25,"{""args"": [""front_bracket"", ""front_chassis""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_27,step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_6,"{""args"": [""front_chassis"", ""base""], ""name"": ""installed""}",True,True,True,accepted,False,PASS,DEPENDS_ON grounded in validation support
