step_id,step_index,status_value,confidence_value,predicate_evidence_count,constraint_evidence_count,has_predicate_edges,has_constraint_edges,status,notes
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_0,0,accepted,1.0,7,1,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_1,1,accepted,1.0,8,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_2,2,uncertain,1.0,12,4,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_3,3,uncertain,1.0,12,4,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_4,4,accepted,1.0,8,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_5,5,rejected,1.0,12,1,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_6,6,accepted,1.0,8,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_7,7,uncertain,1.0,12,4,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_8,8,accepted,1.0,8,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_9,9,accepted,1.0,8,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_10,10,accepted,1.0,9,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_11,11,uncertain,1.0,11,3,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_12,12,accepted,1.0,9,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_13,13,rejected,1.0,9,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_14,14,rejected,1.0,8,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_15,15,accepted,1.0,8,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_16,16,accepted,1.0,8,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_17,17,uncertain,1.0,12,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_18,18,accepted,1.0,9,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_19,19,uncertain,1.0,11,3,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_20,20,accepted,1.0,9,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_21,21,rejected,1.0,9,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_22,22,uncertain,1.0,12,4,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_23,23,uncertain,1.0,12,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_24,24,uncertain,1.0,12,4,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_25,25,accepted,1.0,9,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_26,26,uncertain,1.0,11,3,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_27,27,accepted,1.0,9,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_28,28,accepted,1.0,9,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_29,29,rejected,1.0,11,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_30,30,accepted,1.0,9,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_31,31,accepted,1.0,8,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_32,32,accepted,1.0,8,2,True,True,PASS,step evidence traceable
step::raw_cad_dataset__all_test_clips::od_plus_psr_error_hints::test_p1::08_assy_0_1::event_33,33,rejected,1.0,9,2,True,True,PASS,step evidence traceable
