clip,slice_order,frame_idx,frame_name,timestamp_ns,rgb_path,depth_path,stereo_left_path,stereo_right_path,gaze_x,gaze_y,has_hands,source_archive,split,notes,pose_00,pose_01,pose_02,pose_03,pose_04,pose_05,pose_06,pose_07,pose_08,pose_09,pose_10,pose_11,pose_12,pose_13,pose_14,pose_15
03_assy_1_3,0,350,000350.jpg,35000000000,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/rgb/000350.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/depth/000350.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_left/000350.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_right/000350.jpg,454,599,True,relevant_slice_test_p1.tar.gz,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9914342912242472,-0.0789584522869442,-0.10403657528544938,-0.017,0.02809198339420906,0.6490026980013605,-0.7602672809321301,-0.023,0.1275495458778827,-0.7566776465572413,-0.6412254303651256,-0.222,0.0,0.0,0.0,1.0
03_assy_1_3,1,351,000351.jpg,35100000000,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/rgb/000351.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/depth/000351.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_left/000351.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_right/000351.jpg,873,577,True,relevant_slice_test_p1.tar.gz,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.998666925995216,-0.04399269339336583,-0.027000256503655184,-0.006,-0.008392436400372018,0.6545095168299215,-0.7560071821023452,-0.023,0.050930717003902254,-0.754772770644954,-0.6540062130885367,-0.225,0.0,0.0,0.0,1.0
03_assy_1_3,2,352,000352.jpg,35200000000,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/rgb/000352.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/depth/000352.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_left/000352.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_right/000352.jpg,825,580,True,relevant_slice_test_p1.tar.gz,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.999811584361429,-0.01899470116019079,0.00399963804913409,0.001,-0.01549352331467087,0.6567700004640252,-0.7539317722617759,-0.022,0.01169386642589972,-0.7538516882108306,-0.6569405495702743,-0.227,0.0,0.0,0.0,1.0
03_assy_1_3,3,353,000353.jpg,35300000000,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/rgb/000353.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/depth/000353.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_left/000353.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_right/000353.jpg,817,589,True,relevant_slice_test_p1.tar.gz,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9999660270085184,-0.001999124570769126,0.007996769957274148,0.006,-0.007318306361877153,0.6617405650649512,-0.7496971834944512,-0.021,-0.0037930490100608525,-0.7497302368508754,-0.6617327139644357,-0.229,0.0,0.0,0.0,1.0
03_assy_1_3,4,354,000354.jpg,35400000000,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/rgb/000354.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/depth/000354.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_left/000354.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_right/000354.jpg,0,0,True,relevant_slice_test_p1.tar.gz,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9995584628474525,0.02102119919841961,0.020999727005323383,0.012,-0.001050025697965074,0.6813140454356024,-0.7319904841855579,-0.018,-0.029694726738452373,-0.7316893334444847,-0.6809911471726298,-0.231,0.0,0.0,0.0,1.0
03_assy_1_3,5,355,000355.jpg,35500000000,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/rgb/000355.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/depth/000355.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_left/000355.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_right/000355.jpg,0,0,True,relevant_slice_test_p1.tar.gz,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9981993910093265,0.04797357258242694,0.03600711210703107,0.017,0.008806971175469644,0.7109979940648815,-0.7031388836456346,-0.013,-0.0593330687502689,-0.7015556918516117,-0.7101402665553351,-0.232,0.0,0.0,0.0,1.0
03_assy_1_3,6,356,000356.jpg,35600000000,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/rgb/000356.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/depth/000356.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_left/000356.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_right/000356.jpg,680,203,True,relevant_slice_test_p1.tar.gz,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9974351515393991,0.06402692458720662,0.03199486523616133,0.02,0.024868740989301138,0.7291609419769595,-0.6838902444229485,-0.01,-0.06711679517961969,-0.6813404975657746,-0.7288830236613003,-0.234,0.0,0.0,0.0,1.0
03_assy_1_3,7,357,000357.jpg,35700000000,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/rgb/000357.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/depth/000357.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_left/000357.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_right/000357.jpg,522,282,True,relevant_slice_test_p1.tar.gz,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.99776966066431,0.06599777009723728,0.009999930000734993,0.019,0.04251721574353122,0.7438477765808144,-0.666995331049024,-0.008,-0.05145863021151466,-0.6650825359442023,-0.7449947850547569,-0.24,0.0,0.0,0.0,1.0
03_assy_1_3,8,358,000358.jpg,35800000000,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/rgb/000358.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/depth/000358.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_left/000358.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_right/000358.jpg,0,0,True,relevant_slice_test_p1.tar.gz,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9960386580210496,0.08503315820680961,0.02600680166807061,0.024,0.047858524592666395,0.7591364556058668,-0.6491697800991472,-0.004,-0.07494366785419444,-0.6453535494405664,-0.7601988179897563,-0.246,0.0,0.0,0.0,1.0
03_assy_1_3,9,359,000359.jpg,35900000000,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/rgb/000359.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/depth/000359.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_left/000359.jpg,/tmp/industreal_pilot/slices/raw_cad_pilot__03_assy_0_1__03_assy_1_3/03_assy_1_3/stereo_right/000359.jpg,1048,376,True,relevant_slice_test_p1.tar.gz,test,non_metric_jpg;depth_is_duplicated_possible=true,-0.9856205200255526,0.11897175379829945,0.11999130094601068,0.032,0.01746856338509698,0.7780539998499716,-0.6279544749507893,-0.002,-0.16806855683863098,-0.6168287405071342,-0.7689442535623517,-0.253,0.0,0.0,0.0,1.0
